timestamp,Roll1,Pitch1,Yaw1,gx,gy,gz,Roll2,Pitch2,Yaw2,ax,ay,az,label
476,-11.757158279418944,24.527524948120117,176.18344116210938,11.16943359375,12.26806640625,40.283203125,21.094743728637695,53.13507461547851,198.67820739746097,-0.991986095905304,0.0079762386158108,-0.1260949522256851,other
609,-11.559998512268066,24.615169525146484,176.402099609375,13.73291015625,16.2353515625,40.46630859375,21.13788414001465,53.119510650634766,198.87759399414065,-0.9941829442977904,-0.0143784265965223,-0.1067415401339531,other
729,-11.078433990478516,24.993709564208984,176.93421936035156,8.72802734375,33.3251953125,39.55078125,21.392168045043945,53.087459564208984,199.7386016845703,-0.986673891544342,-0.1172499731183052,-0.1128147169947624,other
910,-10.825101852416992,25.297880172729492,177.3721466064453,1.708984375,30.1513671875,45.166015625,21.50084114074707,53.09154510498047,200.3672790527344,-0.986843764781952,-0.0963108390569686,-0.1298598796129226,other
1030,-10.57786464691162,25.512941360473633,177.7860565185547,0.6103515625,21.42333984375,39.24560546875,21.66240119934082,53.122779846191406,200.94598388671875,-0.9859105944633484,-0.1084786206483841,-0.1273290067911148,other
1149,-10.418679237365724,25.646024703979492,177.91441345214844,7.8125,14.58740234375,8.11767578125,21.975690841674805,53.17107009887695,201.43032836914065,-0.990625500679016,-0.0793190076947212,-0.111219048500061,other
1390,-10.262910842895508,25.577587127685547,177.8938446044922,-2.5634765625,-2.44140625,-0.6103515625,22.30615997314453,53.39790725708008,201.7035217285156,-0.9736271500587464,-0.2032781243324279,-0.1035773530602455,other
1510,-10.30079746246338,25.389684677124023,177.94903564453125,-2.01416015625,-10.43701171875,5.615234375,22.121063232421875,53.552886962890625,201.53953552246097,-0.9332717657089232,-0.3508386015892029,-0.0769160091876983,other
1629,-10.306472778320312,25.24589157104492,177.92510986328125,-0.6103515625,0.8544921875,-5.7373046875,22.170900344848633,53.682254791259766,201.53985595703125,-0.9555412530899048,-0.2859402894973755,-0.0719664543867111,other
1749,-10.320908546447754,24.710908889770508,177.94357299804688,-1.52587890625,-23.74267578125,0.30517578125,22.137847900390625,54.05559158325195,201.335693359375,-0.9740381240844728,-0.1965564340353012,-0.1123179644346237,other
